x	actin	actin sem	cofilin	cofilin sem	
-0.0	33.2636058165	3.61569686697	-9.72198352219	6.28630623007	
-0.5	73.1206505057	11.5898440698	130.492273437	19.7092355358	
-1.0	85.1571869025	11.6551236594	137.078434904	19.6126417294	
-1.5	118.854746484	16.1971088241	151.726387597	21.8482353563	
-2.0	134.015682642	17.8950690602	154.190277211	23.3027655981	
-2.5	163.790961531	19.4328305479	186.675375648	26.3438163268	
-3.0	178.227577543	18.4974253245	179.201028207	23.8456701635	
-3.5	208.022565098	19.8485583913	180.694633695	22.8908230878	
-4.0	223.215075702	21.5948936061	178.988187381	24.5276822046	
-4.5	228.482986147	22.4911845636	162.050148141	17.9994753476	
-5.0	267.979671461	22.8800795736	189.168049028	22.2863510746	
-5.5	297.242105688	21.6342429317	187.866406641	20.0896481378	
-6.0	302.378556243	21.0789534969	179.491414904	19.8254182628	
-6.5	317.999863864	22.376219021	177.729047457	21.1523967153	
-7.0	319.871896136	20.1972279494	168.664153568	21.553311923	
-7.5	355.245849395	19.5040687658	182.938985601	23.0596725923	
-8.0	379.241673356	19.3672011701	169.309060567	20.8626638549	
-8.5	379.995933383	19.0349588633	162.420842631	21.874635439	
-9.0	394.124713433	20.0040273444	150.344645168	21.187630226	
-9.5	398.632600655	18.3797220091	152.343408681	20.8344011059	
-10.0	392.030879138	18.7535818942	138.344839723	22.3698467361	
-10.5	401.820048121	20.0684941714	165.458187283	24.9750276237	
-11.0	409.655820615	16.33290013	134.913774105	20.7639078531	
-11.5	413.679444378	15.6509508189	135.026739839	21.4103641045	
-12.0	402.823406331	17.254675793	137.424942545	25.6431498229	
-12.5	402.150657092	16.2493091296	134.366774387	24.9122743127	
-13.0	409.016318581	17.4554040833	125.675139396	25.5088328352	
-13.5	410.822143583	16.8418849726	119.069227323	22.8446794792	
-14.0	409.435007672	16.7651900662	111.406202518	20.9335568579	
-14.5	395.621216933	17.6031590089	101.847025388	19.0120197528	
-15.0	384.191621852	19.2118654063	90.7958568255	18.1856060534	
-15.5	379.57407949	19.5049099944	94.1190431596	20.4474283668	
-16.0	380.597506032	21.179470522	89.8497300834	20.1485559923	
-16.5	346.495328656	21.1998133446	73.6995360869	17.5342856689	
-17.0	352.203322515	24.5111789541	78.4874121411	19.1544032752	
-17.5	340.375542207	22.7855436436	73.4571089748	18.1821687614	
-18.0	316.849815455	23.1364632231	74.5751470061	17.7327742215	
-18.5	338.210926749	26.7066647326	81.7697482868	21.8532132423	
-19.0	321.041089051	23.3883016325	73.4962588813	21.8884254038	
-19.5	322.656785729	26.2448160301	69.9446476612	18.8682678263	
-20.0	300.525068122	27.3501504779	49.3429312369	17.2290663534	
-20.5	293.243884661	28.0284952179	50.3143572508	17.6059489665	
-21.0	285.198821044	28.1381589734	53.1779558201	17.1552806775	
-21.5	290.457662145	28.7617315672	52.938439923	19.8147379326	
-22.0	281.119006929	29.8076282826	49.9370831121	19.9937227249	
-22.5	264.20023364	29.8222945256	44.9812136762	18.2610460743	
-23.0	257.84604424	29.8889765126	41.6429844617	18.0159249255	
-23.5	270.327451259	30.1815645912	44.3329836702	17.3711062111	
-24.0	253.965985334	29.9558351226	40.5655683321	18.0189842481	
-24.5	237.283729543	31.4320543009	30.0715904375	17.7393644901	
-25.0	267.714698698	35.5852948209	30.2631599522	18.0190759048	
-25.5	260.923972636	32.9504937725	37.7587792377	13.5767429191	
-26.0	252.831119049	31.1654357184	31.5470341823	14.7520299229	
-26.5	243.664443745	35.194689381	41.2717665485	15.952891578	
-27.0	251.788977585	35.5295732913	25.1841540335	14.9718352221	
-27.5	238.330043389	37.1189347043	43.0959598148	14.5188648431	
-28.0	225.753446642	36.4030236338	30.1668014857	14.0836188779	
-28.5	198.506286406	32.230331177	23.407807183	15.2262719615	
-29.0	234.694271317	37.3275024345	31.8328454897	19.7000685161	
-29.5	216.827243612	33.6920704279	21.4124526443	14.5078970877	
-30.0	246.494828837	37.3312772898	17.9129658455	16.9015881885	
-30.5	221.123811317	35.4061816851	20.7128031398	17.4271190072	
-31.0	208.725737375	35.7091375571	38.9207934177	20.8481490083	
-31.5	182.114828816	30.4942706594	22.1765942107	15.2688659587	
-32.0	208.231294931	41.89201021	17.9899462249	17.8511854805	
-32.5	181.24352076	36.9055137919	23.035399644	21.2567594555	
-33.0	175.010172039	30.9581370393	18.796092146	18.4898153584	
-33.5	170.551279474	32.8351486131	7.96545368389	7.9704245936	
-34.0	139.051374742	28.213518993	2.12911668654	8.86039499587	
