x	actin	actin sem	cofilin	cofilin sem	
0.0	27.6862972871	4.77470417568	13.5641981592	7.97260872971	
0.5	43.3094058772	7.55046116326	10.1297175391	10.4605855912	
1.0	54.3314983989	7.83271392606	12.5908437714	11.1128758336	
1.5	58.6454458603	11.1388484469	15.3090108083	14.5333925622	
2.0	70.7470414248	14.4741600555	22.6527897314	11.5548215441	
2.5	85.8282002715	17.8690510825	20.2272088476	9.37668172337	
3.0	100.589899284	20.5455566726	19.9856925024	8.5519202033	
3.5	101.692961289	17.303605557	16.6636258005	6.26371145615	
4.0	115.150554432	18.2305924997	14.1957494129	8.61677942969	
4.5	125.185744913	21.2161046982	30.239315403	16.9044511892	
5.0	139.36583232	22.1031624887	29.9551844825	8.48894314067	
5.5	150.20398214	21.6145568485	28.1302247342	8.55562400603	
6.0	168.961437082	23.5792562258	41.4803691535	11.8685365124	
6.5	193.834471828	25.7531254228	60.8513442983	16.2402313438	
7.0	193.774668472	24.7735860225	63.244576013	16.7487904824	
7.5	230.684839548	29.2924454491	52.8460502312	14.2213199199	
8.0	242.705444635	27.1216353919	79.9203941247	23.0120952661	
8.5	269.629449545	28.194300209	62.3377126582	15.2177698241	
9.0	255.450592321	28.3194154002	70.6667148474	17.1274809288	
9.5	285.329459098	31.995926933	92.447655455	25.2119615783	
10.0	286.322059976	29.7278759882	107.536220503	32.483795061	
10.5	306.650147299	29.2554162176	120.281808469	38.4093991877	
11.0	321.779972075	29.5678387366	111.185091887	35.1754620213	
11.5	354.992711907	31.7478828481	125.897276911	36.4008470238	
12.0	336.697489452	32.0818625921	144.417682652	43.6723764406	
12.5	340.401115243	30.5517750831	151.680238678	49.8613204745	
13.0	351.600188277	28.1015169666	154.62559603	45.0950922698	
13.5	349.882201873	29.2096510802	173.43484137	44.0710116579	
14.0	357.368174064	27.1730597944	168.022168691	42.7409495726	
14.5	355.222090143	29.3841306197	149.44969492	34.2237490648	
15.0	379.833828473	29.044999121	143.360618614	30.1618824656	
15.5	367.647997859	26.339748781	188.989202801	48.5455240194	
16.0	381.209177781	23.7578263964	179.602762979	41.9827793223	
16.5	388.10379857	23.9511805382	199.351939867	47.0909686157	
17.0	382.887118074	23.1896160902	165.631585541	34.5231603084	
17.5	402.484950808	22.8177911491	180.76721731	44.074153095	
18.0	397.574434241	18.5960594664	175.443537178	37.4150202517	
18.5	404.215751845	19.9338961021	173.922556055	33.4708668198	
19.0	387.353179682	24.4685462728	157.464130258	30.4371050602	
19.5	370.540420668	20.1307249982	159.998938346	32.2698107635	
20.0	385.457382491	25.9401344679	178.833833681	33.7645887201	
20.5	382.710264754	21.8166033382	200.719884323	37.5917757293	
21.0	387.388149331	23.1967227521	165.365862674	31.748024337	
21.5	375.081007791	24.3993767414	154.823068632	32.3797502101	
22.0	380.593870471	26.5249109966	163.312753154	32.7886205198	
22.5	373.331006705	29.7178779746	178.459811225	36.1467113677	
23.0	388.102971829	30.2398340955	177.978408615	36.5914497634	
23.5	385.900180069	28.7084605671	174.135455753	37.3123005408	
24.0	391.041371441	26.4756446232	182.155558616	34.7194985528	
24.5	392.120700881	29.2892594883	183.576455267	32.0529674179	
25.0	378.260010516	27.3215179242	167.049490836	34.4769721972	
25.5	375.520258459	28.4894847138	181.504402713	34.9024759351	
26.0	356.866308342	29.9327759729	186.19043714	34.5598593322	
26.5	349.521786834	34.5435873821	174.270213287	38.0464395382	
27.0	351.741395309	33.6381045206	191.746900367	44.9310313338	
27.5	342.510439136	34.572728744	172.74549742	42.7875680228	
28.0	339.345592253	33.5911113835	187.319609575	45.343031262	
28.5	336.485219475	35.2663918651	166.058235794	39.9714670798	
29.0	323.713765725	35.6274985066	161.825475539	39.5769514024	
29.5	322.844427714	35.1356443838	153.562461226	38.3564033251	
30.0	334.509020046	36.4393758149	180.709571054	46.3143504994	
30.5	353.633005004	38.1908316219	162.559937705	38.426104795	
31.0	321.323567991	38.8919738564	183.201227282	47.5205397636	
31.5	349.764986761	35.8355275711	180.022569114	53.9761046594	
32.0	337.211436486	35.661434463	182.71658238	50.4020560186	
32.5	337.089639656	37.450542944	196.311417821	51.3345547743	
33.0	330.918444622	36.773917839	187.889371102	49.3296402843	
33.5	354.738996902	35.8659893206	211.571563507	66.4948552252	
34.0	339.455239933	40.6131040606	215.346580075	66.1767014761	
34.5	350.951970382	41.9909698446	207.318520952	69.703854905	
35.0	334.522425351	43.2877056505	198.671199091	66.0461687292	
35.5	331.881531963	40.6196581175	199.041093493	62.7550773557	
36.0	313.156880878	43.763806354	190.931955405	67.5795364891	
36.5	318.822800905	42.5940834349	208.764923566	72.582877005	
37.0	320.673383527	42.1162990645	186.842714139	66.5020335918	
37.5	311.576612065	41.8311212993	181.403875899	67.4063835508	
38.0	322.836151057	41.3016515192	184.221426919	58.2600725928	
38.5	289.639765565	44.3293215028	181.381323595	62.9582682428	
39.0	280.61363583	43.9149641961	187.24242424	72.6119889678	
39.5	295.749524356	45.2823800984	189.332338189	63.8492685747	
40.0	300.78172752	47.8545757755	172.509412709	61.9825990058	
40.5	295.966237596	49.795916553	175.037071264	59.4778378643	
41.0	281.507873	50.517325341	195.363510935	72.4766908701	
41.5	276.799947836	49.1070704033	184.317244953	78.180978173	
42.0	308.761873445	59.3002064704	216.119996087	88.9298126428	
42.5	322.857685774	60.3014932382	225.711190248	97.6763722114	
43.0	351.53633285	49.7612158192	210.108766864	87.5291701441	
43.5	323.012517217	57.148871259	214.692495194	87.1852672931	
44.0	315.138123245	58.237543437	223.122632166	107.857672493	
44.5	313.417791228	58.1062039772	217.360709205	95.6544388448	
45.0	307.628609048	54.7395111488	205.438390296	85.0468512076	
45.5	311.167470588	58.0638792804	196.817585113	76.3058116323	
46.0	309.38788055	55.8747821306	178.385240323	65.6270244403	
46.5	291.897885902	57.1521698317	174.008761026	68.9552098596	
47.0	304.511080007	60.756381692	163.823475883	64.4264820374	
47.5	258.298278786	53.3532839497	148.540761434	53.101776385	
48.0	289.652963028	64.1710007085	217.400010628	79.6872347915	
48.5	365.924639886	57.0542083122	142.643746121	47.1899137555	
49.0	391.627788662	37.9771257051	162.090116464	58.7298085408	
49.5	406.84078554	34.2840810842	182.674382021	63.3961318016	
50.0	371.462455507	29.885284378	162.037903717	55.7134828428	
50.5	339.627915835	30.6289235945	157.045840527	59.2630538779	
51.0	328.955378321	29.3690960131	178.010368844	63.5395136229	
51.5	347.55898146	41.0180463713	160.691063089	62.128840663	
52.0	358.661931622	42.925777567	152.697318175	51.439667567	
52.5	344.368509394	29.839788144	145.567558631	45.6335011181	
53.0	312.239936875	37.1624650741	143.358658892	53.8892585035	
53.5	318.980415813	47.0513871789	151.283186042	50.7227750459	
54.0	333.262190898	47.7505382356	119.578747524	46.2786776655	
54.5	298.503729034	40.0016716806	103.249874235	57.5610994409	
55.0	246.561999677	64.2392626416	114.211698005	64.6098828523	
55.5	242.079661871	45.2091650832	90.5037313485	40.7897608991	
56.0	226.734231884	43.1017834321	119.594173576	67.3063157522	
56.5	222.737337457	41.0135909756	114.432647141	58.2463346248	
57.0	229.519415762	38.8728864687	113.557835422	69.2414792105	
57.5	206.810299376	45.6484132257	107.606922736	63.8448342742	
58.0	225.840428917	46.9071009481	111.360613784	59.8260214784	
58.5	197.273985997	52.5920284281	98.7310369737	52.4424890942	
59.0	174.680970299	50.9142032345	89.0688887895	58.8628998268	
59.5	188.468764353	57.9958045504	85.1554208929	43.594819166	
60.0	131.562098752	55.8994657061	70.9402959669	35.0460050595	
60.5	168.563094959	63.0377873617	76.8031395262	42.7202103919	
61.0	143.449516421	44.0948832538	80.9601673965	36.780413677	
61.5	178.718001278	48.1454363999	33.9980966929	10.3964784882	
62.0	183.655394754	53.6500821959	24.0352751516	10.6296842457	
62.5	134.076228375	49.9873753188	20.4975613109	6.41648034949	
63.0	106.993330607	50.4387239545	22.9154782986	14.6838900872	
63.5	127.376141016	57.6154014227	20.529598124	4.89173854465	
64.0	119.416226866	62.1801810071	20.5244171973	3.15370009083	
64.5	86.6148850522	45.6422116471	31.3275046997	12.6001871903	
65.0					
65.5					
66.0					
66.5					
67.0					
67.5					
68.0					
68.5					
69.0					
69.5					
70.0					
70.5					
71.0					
71.5					
72.0					
72.5					
73.0					
73.5					
74.0					
74.5					
75.0					
75.5					
76.0					
76.5					
77.0					
77.5					
78.0					
78.5					
79.0					
79.5					
80.0					
80.5					
81.0					
81.5					
82.0					
82.5					
83.0					
83.5					
84.0					
84.5					
85.0					
85.5					
86.0					
					
