CY4_pCE206_002_03a.txt X	CY4_pCE206_002_03a.txt Y	CY4_pCE206_001_06a.txt X	CY4_pCE206_001_06a.txt Y	CY4_pCE206_001_02a.txt X	CY4_pCE206_001_02a.txt Y	CY4_pCE206_003_05a.txt X	CY4_pCE206_003_05a.txt Y	CY4_pCE206_002_02a.txt X	CY4_pCE206_002_02a.txt Y	CY4_pCE206_001_04a.txt X	CY4_pCE206_001_04a.txt Y	CY4_pCE206_001_01a.txt X	CY4_pCE206_001_01a.txt Y	CY4_pCE206_003_04a.txt X	CY4_pCE206_003_04a.txt Y	CY4_pCE206_002_06a.txt X	CY4_pCE206_002_06a.txt Y	CY4_pCE206_002_04b.txt X	CY4_pCE206_002_04b.txt Y	CY4_pCE206_003_02a.txt X	CY4_pCE206_003_02a.txt Y	CY4_pCE206_004_01a.txt X	CY4_pCE206_004_01a.txt Y	CY4_pCE206_003_03b.txt X	CY4_pCE206_003_03b.txt Y	CY4_pCE206_002_05a.txt X	CY4_pCE206_002_05a.txt Y	CY4_pCE206_001_05a.txt X	CY4_pCE206_001_05a.txt Y	CY4_pCE206_003_07a.txt X	CY4_pCE206_003_07a.txt Y	CY4_pCE206_001_03a.txt X	CY4_pCE206_001_03a.txt Y	CY4_pCE206_002_01a.txt X	CY4_pCE206_002_01a.txt Y	CY4_pCE206_003_06a.txt X	CY4_pCE206_003_06a.txt Y	CY4_pCE206_003_03a.txt X	CY4_pCE206_003_03a.txt Y	CY4_pCE206_003_01a.txt X	CY4_pCE206_003_01a.txt Y	CY4_pCE206_002_07a.txt X	CY4_pCE206_002_07a.txt Y	CY4_pCE206_002_04a.txt X	CY4_pCE206_002_04a.txt Y	
240.0	226.0	426.0	307.0	252.0	246.0	347.0	273.0	206.0	210.0	276.0	234.0	495.0	280.0	202.0	207.0	243.0	200.0	331.0	241.0	305.0	247.0	263.0	233.0	386.0	249.0	529.0	266.0	292.0	225.0	419.0	266.0	201.0	209.0	379.0	288.0	202.0	192.0	707.0	384.0	220.0	235.0	364.0	225.0	227.0	201.0	
236.0	223.0	473.0	312.0	297.0	228.0	331.0	251.0	200.0	223.0	262.0	217.0	468.0	291.0	178.0	209.0	214.0	207.0	349.0	239.0	294.0	264.0	237.0	216.0	420.0	263.0	498.0	240.0	302.0	215.0	393.0	279.0	199.0	213.0	358.0	258.0	216.0	214.0	614.0	348.0	208.0	231.0	366.0	264.0	212.0	213.0	
247.0	227.0	400.0	309.0	231.0	232.0	301.0	235.0	222.0	201.0	263.0	227.0	468.0	285.0	200.0	195.0	214.0	204.0	319.0	230.0	330.0	247.0	229.0	201.0	405.0	247.0	440.0	261.0	329.0	232.0	397.0	242.0	232.0	227.0	393.0	253.0	203.0	206.0	726.0	340.0	217.0	222.0	365.0	242.0	218.0	219.0	
283.0	218.0	388.0	301.0	240.0	243.0	323.0	237.0	221.0	206.0	249.0	221.0	411.0	260.0	174.0	200.0	245.0	191.0	362.0	228.0	303.0	244.0	208.0	214.0	417.0	263.0	403.0	250.0	285.0	228.0	433.0	264.0	207.0	216.0	325.0	273.0	186.0	204.0	824.0	377.0	263.0	226.0	363.0	259.0	219.0	198.0	
301.0	242.0	363.0	305.0	269.0	220.0	323.0	251.0	209.0	194.0	261.0	217.0	379.0	262.0	193.0	196.0	223.0	231.0	354.0	242.0	270.0	238.0	225.0	228.0	397.0	264.0	401.0	269.0	276.0	221.0	419.0	235.0	216.0	208.0	366.0	243.0	193.0	208.0	834.0	391.0	235.0	254.0	310.0	241.0	297.0	225.0	
343.0	217.0	412.0	271.0	283.0	220.0	326.0	273.0	190.0	210.0	265.0	225.0	401.0	271.0	191.0	195.0	217.0	200.0	356.0	253.0	319.0	247.0	205.0	227.0	383.0	254.0	418.0	257.0	287.0	266.0	345.0	260.0	220.0	202.0	308.0	253.0	210.0	198.0	870.0	353.0	235.0	235.0	318.0	234.0	237.0	219.0	
306.0	229.0	503.0	288.0	275.0	230.0	290.0	237.0	206.0	187.0	259.0	211.0	350.0	239.0	196.0	213.0	214.0	182.0	337.0	240.0	316.0	244.0	220.0	199.0	352.0	242.0	417.0	240.0	282.0	231.0	365.0	224.0	228.0	207.0	357.0	244.0	213.0	208.0	800.0	344.0	215.0	239.0	297.0	237.0	250.0	225.0	
293.0	225.0	572.0	324.0	273.0	241.0	328.0	235.0	197.0	219.0	238.0	224.0	430.0	273.0	192.0	182.0	214.0	193.0	367.0	245.0	272.0	256.0	222.0	216.0	421.0	265.0	396.0	245.0	284.0	210.0	355.0	261.0	210.0	213.0	309.0	250.0	199.0	193.0	756.0	336.0	229.0	214.0	349.0	226.0	274.0	221.0	
284.0	214.0	461.0	288.0	282.0	246.0	333.0	269.0	201.0	203.0	243.0	224.0	444.0	280.0	180.0	184.0	232.0	204.0	317.0	240.0	325.0	270.0	254.0	238.0	352.0	261.0	510.0	243.0	285.0	222.0	336.0	244.0	225.0	205.0	393.0	270.0	205.0	217.0	777.0	348.0	242.0	226.0	436.0	254.0	275.0	216.0	
311.0	231.0	360.0	252.0	290.0	223.0	315.0	233.0	205.0	202.0	252.0	221.0	458.0	260.0	185.0	203.0	210.0	217.0	378.0	255.0	306.0	272.0	249.0	221.0	371.0	251.0	482.0	306.0	310.0	252.0	409.0	254.0	197.0	200.0	374.0	259.0	211.0	206.0	718.0	356.0	264.0	221.0	806.0	343.0	259.0	216.0	
