CY17	CY17pRS415	CY259	CY260	CY261	CY262	CY279	CY280	CY281	CY282	CY303	CY304	CY305	CY306	CY307	CY308	CY309	CY310	CY384	CY4pCE206	
		10.0	11.0	15.5	11.5	12.0	11.5	15.5	11.0	11.0	12.0	11.0	13.0	12.5	100.5	10.0	15.5		11.5	
		10.5	12.0	18.0	12.0	13.5	17.0	17.0	12.5	13.0	12.5	17.5	14.0	16.5	105.5	11.0	17.5		12.0	
		13.5	12.0	19.0	15.0	13.5	17.0	18.5	14.0	15.0	13.0	17.5	17.0	22.0	110.5	16.5	22.0		13.5	
		14.0	12.0	19.0	15.5	15.0	17.5	22.0	15.0	15.5	14.0	21.0	19.0	25.5	139.0	16.5	22.0		14.0	
		14.0	12.5	19.0	15.5	15.0	18.0	23.5	19.0	15.5	15.5	21.5	20.0	26.0	20.0	22.0	29.0		15.5	
		14.0	12.5	20.0	16.5	15.0	18.0	27.0	19.5	15.5	15.5	22.0	20.0	27.0	22.5	26.5	29.5		16.5	
		14.5	13.0	21.0	17.5	15.5	20.5	28.0	20.5	16.5	17.0	22.0	20.5	29.0	27.5	28.0	30.0		17.0	
		15.0	13.5	23.0	17.5	15.5	21.5	30.5	21.5	16.5	17.5	23.0	21.5	30.5	30.0	30.5	30.0		19.0	
		15.5	13.5	23.5	18.5	16.0	24.0	32.0	21.5	18.0	19.0	24.0	21.5	31.0	30.5	30.5	30.5		21.0	
		16.0	14.0	23.5	19.5	16.5	25.5	34.0	23.5	18.5	20.0	26.0	21.5	31.5	33.5	36.0	32.0		22.0	
		16.0	14.5	24.5	19.5	21.5	26.5	36.0	25.5	19.5	20.0	27.5	23.0	35.5	34.5	40.5	34.5		22.5	
		16.5	16.0	24.5	20.5	22.5	29.5	36.5	27.5	20.0	20.5	28.5	23.0	36.0	38.5	41.5	34.5		23.0	
		17.0	16.5	24.5	23.0	23.0	30.0	36.5	28.5	20.0	22.5	29.0	25.0	37.5	39.0	43.5	35.5		24.0	
		17.5	16.5	25.0	23.0	23.5	30.5	37.0	30.0	22.0	22.5	29.5	31.5	39.5	40.5	44.0	38.0		24.0	
		18.5	16.5	25.5	23.5	25.0	31.5	38.0	30.0	22.0	23.5	33.5	33.0	45.5	42.5	44.5	38.5		24.0	
		19.5	16.5	25.5	24.0	27.5	32.5	38.5	31.5	23.5	26.5	35.5	35.5	52.0	47.0	45.0	41.0		29.0	
		20.0	17.5	28.5	24.5	29.0	34.5	38.5	32.5	25.5	27.5	35.5	36.0	52.5	49.0	46.0	44.0		34.0	
		20.5	18.0	30.0	24.5	29.5	36.0	39.5	40.5	25.5	29.0	36.0	39.5	55.5	50.0	49.5	45.5		41.0	
		21.0	19.0	30.5	25.5	33.0	42.5	40.0	51.5	26.5	29.0	43.0	39.5	58.0	50.0	50.5	49.5		41.5	
		21.0	19.5	31.0	26.0	35.0	46.5	44.0	6.5	26.5	33.5	43.0	40.0	59.0	55.5	54.0	50.5		7.5	
		22.0	21.0	32.5	26.0	35.0		45.5	9.5	30.5	34.5	43.5	50.5	61.5	69.5	58.0	66.0			
		22.5	22.5	33.0	26.5	35.5		47.5		33.0	42.5	45.0		66.5	71.5	58.0				
		23.0	22.5	33.0	26.5	37.0		7.0		39.0	43.0	45.0		72.0	78.5	58.5				
		24.0	23.5	33.5	26.5	74.0		8.5		41.5	6.5	47.0			83.0	69.0				
		25.0	24.0	33.5	26.5					45.0	64.5	7.5			86.5					
		25.0	25.5	34.0	26.5					45.0	84.0	76.0								
		26.0	25.5	34.5	27.0					51.0										
		26.5	26.0	35.0	28.5															
		27.5	26.0	38.5	28.5															
		28.0	27.0	41.0	30.5															
		28.5	30.5	43.5	31.5															
		30.0	31.0	46.5	35.5															
		31.5	31.5	50.5	35.5															
		31.5	36.5	63.5	37.0															
		36.5	39.0	67.5	40.5															
		55.5	4.5		45.5															
		6.5	41.0		48.5															
			42.0		51.0															
			45.5		51.5															
			7.5		52.5															
					7.0															
