CY17	CY259	CY260	CY261	CY262	CY279	CY280	CY281	CY282	CY303	CY304	CY305	CY306	CY307	CY308	CY309	CY310	CY384	CY4	
	-1.0	-2.5	-0.5	-1.0	0.5	-0.5	-10.0	-4.0	-19.5	0.5	-0.5	-1.0	-0.5	-6.5	-4.0	-4.5		-10.5	
	-3.0	1.5	-11.5	-8.0	1.5	-1.5	-18.0	1.5	1.5	0.5	-1.0	0.5	-1.5	-9.0	0.0	11.0		-12.5	
	-6.0	10.0	-2.0	0.0	13.5	-11.5	1.0	1.5	1.5	1.0	10.0	10.0	-1.5	0.5	10.0	11.0		-12.5	
	1.5	10.5	-3.0	0.5	18.5	-3.0	1.5	10.0	10.5	10.5	11.0	10.0	1.5	11.0	10.0	11.5		-14.5	
	1.5	12.5	10.5	1.0	19.0	12.0	10.5	10.0	11.0	11.5	11.0	10.5	12.0	11.0	10.0	11.5		-17.0	
	1.5	13.0	10.5	1.5	19.5	13.5	13.5	10.0	12.0	12.0	11.0	11.0	13.5	11.0	11.0	13.0		-18.0	
	10.0	15.0	10.5	10.5	19.5	14.5	13.5	10.0	12.5	12.5	11.5	11.0	15.5	12.0	11.5	13.0		-21.0	
	10.0	15.0	10.5	10.5	2.5	19.5	14.0	11.0	14.0	13.5	12.0	11.5	15.5	12.0	12.0	16.0		-33.5	
	10.0	15.5	11.0	10.5	4.0	4.0	15.5	12.0	17.0	14.5	13.0	12.0	18.5	13.5	12.0	16.5		-35.0	
	10.0	19.0	11.5	11.5	4.5	4.5	17.0	13.5	18.5	14.5	13.0	14.0	4.0	16.5	13.5	2.0		-4.0	
	10.5	2.0	12.5	12.0	5.0	5.0	18.0	16.5	24.0	15.5	13.5	2.0	4.0	18.0	14.0	20.0		-51.0	
	12.0	2.5	12.5	12.0	5.5	5.0	19.5	4.0	3.0	16.5	14.0	4.5	4.5	18.5	14.0	23.0		-6.5	
	15.0	20.0	16.5	13.5	5.5	5.5	3.5	5.0	3.0	19.5	15.5	5.0	4.5	20.0	14.5	25.5		-8.0	
	2.0	20.0	17.0	14.0	5.5	6.0	4.5	6.0	3.5	2.0	15.5	5.0	4.5	20.5	14.5	26.5		-9.5	
	2.5	3.0	2.0	14.5	5.5	6.0	4.5	6.0	4.0	2.0	2.5	6.0	5.0	4.0	18.5	36.0		0.0	
	2.5	3.5	2.5	2.5	5.5	6.0	5.0	6.5	4.0	2.5	24.5	6.0	5.0	4.0	19.5	5.5		0.5	
	2.5	3.5	20.0	2.5	6.0	7.0	5.0	6.5	4.0	22.5	29.0	7.5	5.0	4.5	2.5	6.0		17.0	
	3.0	3.5	3.5	3.0	6.5	8.5	5.0	6.5	5.0	28.0	3.0	8.0	5.5	5.0	25.0	7.0		6.0	
	3.0	3.5	3.5	3.0	6.5	8.5	6.5	7.5	5.0	3.5	3.5	8.0	6.5	5.0	3.0	8.0		6.0	
	3.5	3.5	3.5	3.5	7.5	9.5	7.0	8.0	6.0	4.0	5.5	9.0	7.0	6.0	4.5	8.0		7.5	
	3.5	4.0	4.0	3.5	8.0		7.5	8.0	6.0	4.5	6.5	9.5	7.0	6.5	5.0	9.0			
	3.5	4.5	4.5	3.5	8.0		8.0		6.5	5.5	7.0		7.0	7.0	7.0				
	4.0	4.5	5.0	4.5	8.5		9.5		6.5	6.0	7.0		9.5	7.0	8.5				
	4.0	4.5	5.0	4.5	9.5		9.5		7.5	6.5	7.0			8.0	8.5				
	4.5	5.0	5.0	4.5					7.5	7.5	9.0			9.5					
	5.0	5.0	5.5	5.0					8.0	9.5	9.0								
	5.0	5.5	6.0	5.0					9.0										
	6.0	5.5	6.5	5.0															
	6.5	5.5	7.0	5.5															
	6.5	6.0	7.0	5.5															
	6.5	6.5	7.5	5.5															
	7.0	7.0	8.0	6.5															
	7.0	7.5	8.0	7.5															
	7.5	8.5	8.0	7.5															
	8.0	8.5	8.5	7.5															
	8.5	9.0		8.0															
	8.5	9.5		9.0															
		9.5		9.0															
		9.5		9.0															
		9.5		9.0															
				9.5															
