Patch name 	Actin Time 	Cofilin Time 	Delay 	Cumulative Intensity Ratio
CY260_007_04c_2013_09_10	25.0	18.0	13.0	97.2445901959
CY260_002_01b_2013_09_10	18.5	13.5	4.5	137.344264395
CY262_009_07b_2013_09_10	33.5	35.5	2.5	154.320136812
CY261_005_07b_2013_09_10	33.0	25.0	7.0	158.954584056
CY260_004_04c_2013_09_10	28.5			244.763340668
CY262_008_03c_2013_09_10	33.0	30.5	5.5	49.1481416087
CY262_009_04a_2013_09_10	26.0	26.5	5.0	135.948528897
CY261_005_04c_2013_09_10	24.0	19.0	8.0	273.177953001
CY262_007_03a_2013_09_10	35.0	51.0	1.5	85.537401601
CY261_001_10a_2013_09_10	24.0	24.5	5.0	112.771271825
CY262_004_03a_2013_09_10	29.5	35.5	3.5	-194.292193102
CY260_007_04b_2013_09_10	28.5	42.0	4.0	200.68126611
CY262_008_05a_2013_09_10	25.5			293.135630089
CY260_003_06a_2013_09_10	29.0	16.5	15.0	145.731774147
CY262_004_02b_2013_09_10	26.0	26.0	5.5	136.005549625
CY260_002_02b_2013_09_10	40.0	45.5	6.5	-45.4137040383
CY261_003_04a_2013_09_10	24.0	15.5	7.5	103.560119673
CY262_009_02a_2013_09_10	41.0	51.5	7.5	187.506820684
CY261_005_03a_2013_09_10	27.0	30.0	7.0	58.2313538425
CY260_008_04a_2013_09_10	41.5			242.420771417
CY261_003_06a_2013_09_10	37.5	34.5	4.0	231.949763302
CY260_005_02b_2013_09_10	23.0	25.5	3.5	176.060484493
CY260_006_06a_2013_09_10	21.5	19.0	3.5	217.623850554
CY261_003_05a_2013_09_10	41.0	35.0	6.5	144.790638253
CY260_008_03a_2013_09_10	21.0			258.528069329
CY262_009_01a_2013_09_10	27.0			305.337025777
CY260_008_02a_2013_09_10	40.0	36.5	12.5	216.939721284
CY260_002_01a_2013_09_10	44.5	25.5	20.0	199.235448583
CY261_005_04b_2013_09_10	56.5	50.5	11.0	249.204563232
CY261_004_05a_2013_09_10	40.5	24.5	12.5	201.771022818
CY262_007_04a_2013_09_10	13.0	7.0	4.5	305.4662403
CY260_003_08a_2013_09_10	15.5	12.0	4.5	154.404714937
CY262_009_07c_2013_09_10	24.0			237.852739067
CY262_003_05a_2013_09_10	27.5	15.5	10.5	226.942066619
CY260_003_01a_2013_09_10	32.5	12.5	20.0	280.786334024
CY260_005_03a_2013_09_10	15.0	12.0	3.5	204.002502565
CY261_002_03a_2013_09_10	28.0	25.5	3.5	176.619750861
CY260_006_03a_2013_09_10	29.5	22.5	10.5	85.9593359954
CY261_003_03a_2013_09_10	39.5	19.0	17.0	137.78081534
CY262_008_01a_2013_09_10	22.0	18.5	9.0	-120.046904997
CY262_003_07a_2013_09_10	27.0			337.944826142
CY262_005_04a_2013_09_10	49.0			192.39742129
CY262_003_01a_2013_09_10	14.5	16.5	1.0	-115.869334066
CY262_004_04a_2013_09_10	36.0	37.0	0.0	237.300133779
CY261_005_01a_2013_09_10	52.5	67.5	10.5	-185.207617386
CY262_009_06b_2013_09_10	34.5			356.07690866
CY259_001_01a_2013_09_10	22.0	10.5	2.5	82.936189926
CY262_005_02a_2013_09_10	27.0	28.5	-1.0	142.813198655
CY262_007_02a_2013_09_10	28.0	24.5	6.5	222.027614985
CY262_003_03a_2013_09_10	31.5	25.5	0.5	109.092352313
CY262_009_05a_2013_09_10	31.0	27.0	3.0	270.283997355
CY260_004_04a_2013_09_10	20.5	14.0	6.0	275.216430418
CY260_007_02b_2013_09_10	36.5	31.5	5.5	90.2807163921
CY261_001_02a_2013_09_10	25.5	32.5	-2.0	0.0630329228027
CY261_001_09a_2013_09_10	30.0	23.5	8.0	196.60527811
CY260_006_07a_2013_09_10	42.0			258.393569411
CY261_002_02a_2013_09_10	24.5	23.5	4.5	199.433060143
CY262_009_03a_2013_09_10	27.5	15.0	12.0	290.744205811
CY262_007_04b_2013_09_10	24.5	23.5	2.5	235.742489437
CY260_003_04a_2013_09_10	29.5	27.0	9.5	123.834258421
CY260_008_04b_2013_09_10	28.0	4.5	15.0	296.891166229
CY260_005_02a_2013_09_10	27.0	23.5	3.5	116.244584141
CY260_006_04a_2013_09_10	31.5	21.0	9.0	234.796992122
CY260_004_03b_2013_09_10	21.0	16.5	5.5	296.163117196
CY262_005_05b_2013_09_10	38.0	31.5	9.0	78.0922144556
CY261_004_05b_2013_09_10	30.0	33.0	-3.0	112.779059228
CY261_001_07a_2013_09_10	44.5	41.0	8.5	-63.7312843069
CY262_006_04a_2013_09_10	41.5	26.5	14.5	222.590891789
CY262_009_06a_2013_09_10	40.0	24.5	14.0	231.220799917
CY260_003_05a_2013_09_10	44.0	41.0	7.5	61.8519341235
CY261_004_04a_2013_09_10	36.0	31.0	6.0	254.385903832
CY260_001_05a_2013_09_10	31.5	31.0	5.5	178.168545188
CY262_005_05a_2013_09_10	23.5	11.5	11.5	202.45062583
CY262_008_03a_2013_09_10	35.5	26.5	9.0	175.685138726
CY262_005_01a_2013_09_10	30.0	45.5	-8.0	-9.39520036986
CY260_001_04a_2013_09_10	23.0			210.472598009
