Time	 Int488	 Int561	 Back488	 Back561	 Raw488	 Raw561
0.0	 10.8612507248	 0.0	 44.6132	 187.0	52.8132	 187.0
0.5	 -10.1054273507	 9.24375025817	 44.6477703529	 187.021176471	37.0184	 194.0
1.0	 -13.0381906861	 -5.35426936734	 44.6823407059	 187.042352941	34.8388	 183.0
1.5	 19.6899759191	 -4.05777573707	 44.7169110588	 187.063529412	59.5824	 184.0
2.0	 -7.86550771799	 -0.112196564159	 44.7514814118	 187.084705882	38.8132	 187.0
2.5	 -33.4172230506	 1.18429706612	 44.7860517647	 187.105882353	19.5568	 188.0
3.0	 -4.2552554029	 -9.44009424545	 44.8206221176	 187.127058824	41.608	 180.0
3.5	 13.1898068898	 -0.196343987277	 44.8551924706	 187.148235294	54.8132	 187.0
4.0	 -8.96578077721	 -12.1452780702	 44.8897628235	 187.169411765	38.1208	 178.0
4.5	 2.50188489708	 -0.252442269357	 44.9243331765	 187.190588235	46.8132	 187.0
5.0	 16.3129316424	 7.6667652175	 44.9589035294	 187.211764706	57.2748	 193.0
5.5	 29.036793681	 -21.5012248925	 44.9934738824	 187.232941176	66.9156	 171.0
6.0	 8.30800348726	 2.31249585016	 45.0280442353	 187.254117647	51.3004	 189.0
6.5	 22.6621127688	 -22.8818659459	 45.0626145882	 187.275294118	62.172	 170.0
7.0	 -11.379921728	 11.5281969673	 45.0971849412	 187.296470588	36.5056	 196.0
7.5	 -24.2637099958	 -0.420737115594	 45.1317552941	 187.317647059	26.8132	 187.0
8.0	 19.06079878	 0.875756514682	 45.1663256471	 187.338823529	59.5568	 188.0
8.5	 -11.4155665764	 -4.45046371162	 45.200896	 187.36	36.5824	 184.0
9.0	 -16.555547986	 15.3896287171	 45.2354663529	 187.381176471	32.7364	 199.0
9.5	 8.3270868762	 0.791609091563	 45.2700367059	 187.402352941	51.5568	 188.0
10.0	 47.4400794563	 -12.4818677626	 45.3046070588	 187.423529412	81.1208	 178.0
10.5	 -28.4781694813	 -5.88720304709	 45.3391774118	 187.444705882	23.8388	 183.0
11.0	 24.7634559318	 -1.94162387419	 45.3737477647	 187.465882353	64.0696	 186.0
