Time	 Int488	 Int561	 Back488	 Back561	 Raw488	 Raw561
0.0	 67.6582790861	 -5.52024077919	 33.15752	 258.2	60.1216	 256.0
0.5	 -16.2267852317	 9.94491520656	 33.0501149296	 258.036619718	26.5832	 262.0
1.0	 -28.3748151037	 -9.71873376618	 32.9427098592	 257.873239437	21.6344	 254.0
1.5	 -10.2187304583	 38.3660268239	 32.8353047887	 257.709859155	28.7628	 273.0
2.0	 -10.1429398849	 -28.9724288782	 32.7278997183	 257.546478873	28.6856	 246.0
2.5	 -16.0490829558	 54.2411366703	 32.6204946479	 257.383098592	26.2244	 279.0
3.0	 14.2013473968	 -23.1341204485	 32.5130895775	 257.21971831	38.1728	 248.0
3.5	 -51.7971331163	 40.0058422666	 32.405684507	 257.056338028	11.7628	 273.0
4.0	 -4.36871713902	 -75.0074201649	 32.2982794366	 256.892957746	30.5572	 227.0
4.5	 31.4802410438	 -46.9962624082	 32.1908743662	 256.729577465	44.7368	 238.0
5.0	 -6.66009345704	 -24.00350536	 32.0834692958	 256.566197183	29.4292	 247.0
5.5	 -17.9068185618	 11.5352534592	 31.9760642254	 256.402816901	24.8396	 261.0
6.0	 55.5149057245	 -48.2756011804	 31.8686591549	 256.23943662	53.9932	 237.0
6.5	 -14.3447322936	 -67.9392501531	 31.7612540845	 256.076056338	26.0444	 229.0
7.0	 -2.62223735627	 5.23751397872	 31.6538490141	 255.912676056	30.6088	 258.0
7.5	 21.837962259	 -49.5549399525	 31.5464439437	 255.749295775	40.2496	 236.0
8.0	 -54.0046130836	 -16.5253814875	 31.4390388732	 255.585915493	9.9164	 249.0
8.5	 -13.2024934016	 -76.3362361271	 31.3316338028	 255.422535211	26.07	 225.0
9.0	 -35.4505565392	 11.8957301298	 31.2242287324	 255.25915493	17.096	 260.0
9.5	 -14.3356228361	 -10.2771191971	 31.116823662	 255.095774648	25.4036	 251.0
10.0	 -29.0570885914	 -19.9039667531	 31.0094185915	 254.932394366	19.4292	 247.0
10.5	 -41.7200063761	 -57.1320182051	 30.9020135211	 254.769014085	14.2752	 232.0
11.0	 -14.2347148138	 3.49874415583	 30.7946084507	 254.605633803	25.1216	 256.0
11.5	 30.6202652803	 -101.477716859	 30.6872033803	 254.442253521	42.8904	 214.0
12.0	 -42.9700518244	 -28.3009527271	 30.5797983099	 254.278873239	13.4548	 243.0
12.5	 12.4386249593	 80.0046163632	 30.4723932394	 254.115492958	35.4296	 286.0
13.0	 97.9556986329	 -7.40744217233	 30.364988169	 253.952112676	69.4036	 251.0
13.5	 40.9000081821	 30.640517001	 30.2575830986	 253.788732394	46.5576	 266.0
14.0	 50.3050056723	 -24.1519369302	 30.1501780282	 253.625352113	50.1984	 244.0
14.5	 46.7785882173	 -18.7235823612	 30.0427729577	 253.461971831	48.6856	 246.0
15.0	 61.9105845959	 11.7967757496	 29.9353678873	 253.298591549	54.6088	 258.0
15.5	 40.1764056908	 19.7343306729	 29.8279628169	 253.135211268	45.8396	 261.0
16.0	 162.302712532	 -4.94771900824	 29.7205577465	 252.971830986	94.4036	 251.0
16.5	 58.2155743225	 30.5910398109	 29.6131526761	 252.808450704	52.814	 265.0
17.0	 -0.448011715294	 123.841406776	 29.5057476056	 252.645070423	29.3272	 302.0
17.5	 12.8813751289	 43.9569493032	 29.3983425352	 252.481690141	34.532	 270.0
18.0	 15.2746631494	 104.587711664	 29.2909374648	 252.318309859	35.3784	 294.0
18.5	 130.773670015	 37.249255962	 29.1835323944	 252.154929577	81.3012	 267.0
19.0	 91.2813783633	 -22.5615986776	 29.0761273239	 251.991549296	65.4548	 243.0
19.5	 148.426421792	 10.4679597874	 28.9687222535	 251.828169014	88.1216	 256.0
20.0	 68.1445691829	 51.025119315	 28.8613171831	 251.664788732	56.0192	 272.0
20.5	 44.0938965108	 28.852269988	 28.7539121127	 251.501408451	46.3268	 263.0
