Time	 Int488	 Int561	 Back488	 Back561	 Raw488	 Raw561
0.0	 3.4564	 -1.0	 68.5628	 273.0	72.0192	 272.0
0.5	 16.9750686667	 -9.97166666667	 68.3517313333	 272.971666667	85.3268	 263.0
1.0	 -23.7366626667	 17.0566666667	 68.1406626667	 272.943333333	44.404	 290.0
1.5	 5.910006	 -11.915	 67.929594	 272.915	73.8396	 261.0
2.0	 -0.494125333333	 6.11333333333	 67.7185253333	 272.886666667	67.2244	 279.0
2.5	 -11.6422566667	 -15.8583333333	 67.5074566667	 272.858333333	55.8652	 257.0
3.0	 2.594412	 -19.83	 67.296388	 272.83	69.8908	 253.0
3.5	 -9.06611933333	 -0.801666666667	 67.0853193333	 272.801666667	58.0192	 272.0
4.0	 25.0681493333	 11.2266666667	 66.8742506667	 272.773333333	91.9424	 284.0
4.5	 -3.463982	 49.255	 66.663182	 272.745	63.1992	 322.0
5.0	 -11.2529133333	 49.2833333333	 66.4521133333	 272.716666667	55.1992	 322.0
5.5	 44.7781553333	 -0.688333333333	 66.2410446667	 272.688333333	111.0192	 272.0
6.0	 39.450824	 5.34	 66.029976	 272.66	105.4808	 278.0
6.5	 59.3282926667	 -20.6316666667	 65.8189073333	 272.631666667	125.1472	 252.0
7.0	 -0.896238666667	 8.39666666667	 65.6078386667	 272.603333333	64.7116	 281.0
7.5	 48.18643	 -10.575	 65.39677	 272.575	113.5832	 262.0
8.0	 26.6794986667	 -15.5466666667	 65.1857013333	 272.546666667	91.8652	 257.0
8.5	 42.1725673333	 -20.5183333333	 64.9746326667	 272.518333333	107.1472	 252.0
9.0	 25.383636	 -20.49	 64.763564	 272.49	90.1472	 252.0
9.5	 102.723104667	 -1.46166666667	 64.5524953333	 272.461666667	167.2756	 271.0
10.0	 55.7545733333	 -12.4333333333	 64.3414266667	 272.433333333	120.096	 260.0
10.5	 80.786042	 -23.405	 64.130358	 272.405	144.9164	 249.0
11.0	 23.9463106667	 23.6233333333	 63.9192893333	 272.376666667	87.8656	 296.0
11.5	 113.438979333	 -20.3483333333	 63.7082206667	 272.348333333	177.1472	 252.0
12.0	 120.522048	 -0.32	 63.497152	 272.32	184.0192	 272.0
12.5	 97.7587166667	 -4.29166666667	 63.2860833333	 272.291666667	161.0448	 268.0
13.0	 152.969785333	 -4.26333333333	 63.0750146667	 272.263333333	216.0448	 268.0
