Time	 Int488	 Int561	 Back488	 Back561	 Raw488	 Raw561
0.0	 -48.03008	 67.2	 57.18008	 457.8	9.15	 525.0
0.5	 11.9028192965	 -12.8070351759	 57.0155807035	 456.807035176	68.9184	 444.0
1.0	 15.631718593	 17.1859296482	 56.851081407	 455.814070352	72.4828	 473.0
1.5	 21.8726178894	 -32.8211055276	 56.6865821106	 454.821105528	78.5592	 422.0
2.0	 0.26791718593	 -28.8281407035	 56.5220828141	 453.828140704	56.79	 425.0
2.5	 -21.5671835176	 11.1648241206	 56.3575835176	 452.835175879	34.7904	 464.0
3.0	 23.8029157789	 58.1577889447	 56.1930842211	 451.842211055	79.996	 510.0
3.5	 -16.9045849246	 39.1507537688	 56.0285849246	 450.849246231	39.124	 490.0
4.0	 -16.1508856281	 -12.856281407	 55.8640856281	 449.856281407	39.7132	 437.0
4.5	 -1.21678633166	 24.1366834171	 55.6995863317	 448.863316583	54.4828	 473.0
5.0	 -44.6678870352	 4.12964824121	 55.5350870352	 447.870351759	10.8672	 452.0
5.5	 -5.32418773869	 -22.8773869347	 55.3705877387	 446.877386935	50.0464	 424.0
6.0	 7.66071155779	 -32.8844221106	 55.2060884422	 445.884422111	62.8668	 413.0
6.5	 -11.3031891457	 -50.8914572864	 55.0415891457	 444.891457286	43.7384	 394.0
7.0	 -3.18988984925	 -41.8984924623	 54.8770898492	 443.898492462	51.6872	 402.0
7.5	 -15.4097905528	 -19.9055276382	 54.7125905528	 442.905527638	39.3028	 423.0
8.0	 -34.9368912563	 50.0874371859	 54.5480912563	 441.912562814	19.6112	 492.0
8.5	 -22.0547919598	 17.0804020101	 54.3835919598	 440.91959799	32.3288	 458.0
9.0	 -27.8394926633	 -28.9266331658	 54.2190926633	 439.926633166	26.3796	 411.0
9.5	 -37.2385933668	 21.0663316583	 54.0545933668	 438.933668342	16.816	 460.0
10.0	 19.4383059296	 -18.9407035176	 53.8900940704	 437.940703518	73.3284	 419.0
10.5	 5.16760522613	 50.0522613065	 53.7255947739	 436.947738693	58.8932	 487.0
11.0	 -35.4118954774	 11.0452261307	 53.5610954774	 435.954773869	18.1492	 447.0
11.5	 -4.7349961809	 -28.9618090452	 53.3965961809	 434.961809045	48.6616	 406.0
12.0	 -16.7496968844	 0.0311557788945	 53.2320968844	 433.968844221	36.4824	 434.0
12.5	 21.3632024121	 -29.975879397	 53.0675975879	 432.975879397	74.4308	 403.0
13.0	 29.5789017085	 -36.9829145729	 52.9030982915	 431.982914573	82.482	 395.0
13.5	 -5.84619899497	 -21.9899497487	 52.738598995	 430.989949749	46.8924	 409.0
14.0	 28.9851003015	 -7.99698492462	 52.5740996985	 429.996984925	81.5592	 422.0
14.5	 -9.36320040201	 -5.0040201005	 52.409600402	 429.004020101	43.0464	 424.0
15.0	 9.62169889447	 -15.0110552764	 52.2451011055	 428.011055276	61.8668	 413.0
15.5	 73.272998191	 -51.0180904523	 52.080601809	 427.018090452	125.3536	 376.0
16.0	 50.1814974874	 -10.0251256281	 51.9161025126	 426.025125628	102.0976	 416.0
16.5	 60.6543967839	 59.967839196	 51.7516032161	 425.032160804	112.406	 485.0
17.0	 79.2028960804	 0.960804020101	 51.5871039196	 424.03919598	130.79	 425.0
17.5	 70.1877953769	 -9.04623115578	 51.4226046231	 423.046231156	121.6104	 414.0
18.0	 87.1730946734	 19.9467336683	 51.2581053266	 422.053266332	138.4312	 442.0
18.5	 149.61919397	 -23.0603015075	 51.0936060302	 421.060301508	200.7128	 398.0
19.0	 96.1684932663	 -4.06733668342	 50.9291067337	 420.067336683	147.0976	 416.0
19.5	 117.666592563	 22.9256281407	 50.7646074372	 419.074371859	168.4312	 442.0
20.0	 167.497491859	 -2.08140703518	 50.6001081407	 418.081407035	218.0976	 416.0
20.5	 107.379991156	 3.91155778894	 50.4356088442	 417.088442211	157.8156	 421.0
21.0	 103.236890452	 13.9045226131	 50.2711095477	 416.095477387	153.508	 430.0
21.5	 126.734589749	 1.89748743719	 50.1066102513	 415.102512563	176.8412	 417.0
22.0	 168.975889045	 -9.10954773869	 49.9421109548	 414.109547739	218.918	 405.0
22.5	 203.422788342	 25.8834170854	 49.7776116583	 413.116582915	253.2004	 439.0
23.0	 148.305287638	 31.8763819095	 49.6131123618	 412.12361809	197.9184	 444.0
23.5	 229.187386935	 -1.13065326633	 49.4486130653	 411.130653266	278.636	 410.0
24.0	 225.839486231	 40.8623115578	 49.2841137688	 410.137688442	275.1236	 451.0
24.5	 294.081185528	 68.8552763819	 49.1196144724	 409.144723618	343.2008	 478.0
25.0	 243.655684824	 44.848241206	 48.9551151759	 408.151758794	292.6108	 453.0
25.5	 287.614584121	 -0.158793969849	 48.7906158794	 407.15879397	336.4052	 407.0
26.0	 229.241083417	 45.8341708543	 48.6261165829	 406.165829146	277.8672	 452.0
26.5	 224.995182714	 32.8271356784	 48.4616172864	 405.172864322	273.4568	 438.0
27.0	 230.44208201	 67.8201005025	 48.2971179899	 404.179899497	278.7392	 472.0
27.5	 273.734581307	 48.8130653266	 48.1326186935	 403.186934673	321.8672	 452.0
28.0	 302.052680603	 25.8060301508	 47.968119397	 402.193969849	350.0208	 428.0
28.5	 227.627579899	 40.7989949749	 47.8036201005	 401.201005025	275.4312	 442.0
29.0	 260.690479196	 135.791959799	 47.639120804	 400.208040201	308.3296	 536.0
29.5	 242.778178492	 148.784924623	 47.4746215075	 399.215075377	290.2528	 548.0
30.0	 321.019077789	 98.7778894472	 47.3101222111	 398.222110553	368.3292	 497.0
30.5	 315.568777085	 156.770854271	 47.1456229146	 397.229145729	362.7144	 554.0
31.0	 266.862076382	 215.763819095	 46.9811236181	 396.236180905	313.8432	 612.0
