Time	 Int488	 Int561	 Back488	 Back561	 Raw488	 Raw561
0.0	 2.27704	 11.4	 24.92096	 193.6	27.198	 205.0
0.5	 3.93157470882	 -2.58069883527	 24.8560252912	 193.580698835	28.7876	 191.0
1.0	 -2.54189058236	 3.43860232945	 24.7910905824	 193.561397671	22.2492	 197.0
1.5	 2.34344412646	 -7.54209650582	 24.7261558735	 193.542096506	27.0696	 186.0
2.0	 -5.36082116473	 -4.5227953411	 24.6612211647	 193.522795341	19.3004	 189.0
2.5	 -0.552286455907	 -3.50349417637	 24.5962864559	 193.503494176	24.044	 190.0
3.0	 11.2306482529	 1.51580698835	 24.5313517471	 193.484193012	35.762	 195.0
3.5	 8.60318296173	 -7.46489184692	 24.4664170383	 193.464891847	33.0696	 186.0
4.0	 15.6681176705	 -7.4455906822	 24.4014823295	 193.445590682	40.0696	 186.0
4.5	 1.70745237937	 -3.42628951747	 24.3365476206	 193.426289517	26.044	 190.0
5.0	 4.77238708819	 -3.40698835275	 24.2716129118	 193.406988353	29.044	 190.0
5.5	 -8.931878203	 -0.38768718802	 24.206678203	 193.387687188	15.2748	 193.0
6.0	 0.671456505824	 -6.36838602329	 24.1417434942	 193.368386023	24.8132	 187.0
6.5	 -2.03280878536	 -3.34908485857	 24.0768087854	 193.349084859	22.044	 190.0
7.0	 5.54492592346	 -5.32978369384	 24.0118740765	 193.329783694	29.5568	 188.0
7.5	 -10.9029393677	 -3.31048252912	 23.9469393677	 193.310482529	13.044	 190.0
8.0	 5.6491953411	 -1.29118136439	 23.8820046589	 193.291181364	29.5312	 192.0
8.5	 -8.28586995008	 -1.27188019967	 23.8170699501	 193.2718802	15.5312	 192.0
9.0	 -6.96453524126	 -2.25257903494	 23.7521352413	 193.252579035	16.7876	 191.0
9.5	 -11.8484005324	 -10.2332778702	 23.6872005324	 193.23327787	11.8388	 183.0
10.0	 -2.27066582363	 -12.2139767055	 23.6222658236	 193.213976705	21.3516	 181.0
10.5	 -4.25693111481	 -4.19467554077	 23.5573311148	 193.194675541	19.3004	 189.0
11.0	 -5.39719640599	 -11.175374376	 23.492396406	 193.175374376	18.0952	 182.0
11.5	 -1.35786169717	 -7.15607321131	 23.4274616972	 193.156073211	22.0696	 186.0
12.0	 -2.57492698835	 -2.13677204659	 23.3625269884	 193.136772047	20.7876	 191.0
12.5	 -5.27919227953	 0.882529118136	 23.2975922795	 193.117470882	18.0184	 194.0
13.0	 -27.9322575707	 -4.09816971714	 23.2326575707	 193.098169717	-4.6996	 189.0
13.5	 -4.3033228619	 -14.0788685524	 23.1677228619	 193.078868552	18.8644	 179.0
