Time	 Int488	 Int561	 Back488	 Back561	 Raw488	 Raw561
0.0	 -32.2624182089	 -184.168352953	 -0.882	 405.0	-4.2104	 386.0
0.5	 19.9089257492	 151.987356543	 -0.981933714286	 404.32	1.072	 420.0
1.0	 -96.931997105	 13.182576843	 -1.08186742857	 403.64	-11.082	 405.0
1.5	 29.3021653398	 136.090719761	 -1.18180114286	 402.96	1.8412	 417.0
2.0	 89.6699703115	 -51.1794159786	 -1.28173485714	 402.28	7.9692	 397.0
2.5	 28.502171248	 -180.29112447	 -1.38166857143	 401.6	1.5588	 383.0
3.0	 -9.80161145001	 -474.185043499	 -1.48160228571	 400.92	-2.4928	 352.0
3.5	 42.6217523596	 201.22815828	 -1.581536	 400.24	2.8156	 421.0
4.0	 176.304070721	 -461.002466656	 -1.68146971429	 399.56	16.5072	 352.0
4.5	 33.1212575514	 -270.242825281	 -1.78140342857	 398.88	1.6356	 371.0
5.0	 -53.8921465814	 -147.334682363	 -1.88133714286	 398.2	-7.4412	 383.0
5.5	 249.795009084	 -489.693957432	 -1.98127085714	 397.52	23.7892	 347.0
6.0	 31.0605216903	 146.946959514	 -2.08120457143	 396.84	1.1232	 412.0
6.5	 -221.7315407	 46.9144646471	 -2.18113828571	 396.16	-25.0564	 401.0
7.0	 233.566880345	 -130.662599885	 -2.281072	 395.48	21.8152	 382.0
7.5	 -37.6148767411	 -7.75445696646	 -2.38100571429	 394.8	-6.2616	 394.0
8.0	 158.952210389	 -272.569162371	 -2.48093942857	 394.12	13.9176	 366.0
8.5	 254.118140998	 -217.512517909	 -2.58087314286	 393.44	23.6356	 371.0
9.0	 99.005095786	 -55.8320901585	 -2.68080685714	 392.76	7.5332	 387.0
9.5	 298.057486374	 -330.339866771	 -2.78074057143	 392.08	27.9688	 358.0
10.0	 67.144624315	 315.994121383	 -2.88067428571	 391.4	4.0464	 424.0
10.5	 59.4127882073	 167.496270475	 -2.980608	 390.72	3.1488	 408.0
11.0	 -98.4337030855	 377.642054266	 -3.08054171429	 390.04	-13.2356	 429.0
11.5	 -247.083408416	 665.332407722	 -3.18047542857	 389.36	-28.6712	 458.0
12.0	 -228.46947698	 565.299912855	 -3.28040914286	 388.68	-26.8508	 447.0
12.5	 -93.2905484247	 426.495133155	 -3.38034285714	 388.0	-13.0048	 432.0
13.0	 -92.8181690619	 510.630991241	 -3.48027657143	 387.32	-13.056	 440.0
13.5	 56.0279898971	 129.49943134	 -3.58021028571	 386.64	2.2	 400.0
14.0	 -24.5181971257	 756.447277078	 -3.680144	 385.96	-6.2096	 464.0
14.5	 210.576909443	 908.43463362	 -3.78007771429	 385.28	17.9444	 479.0
15.0	 77.8315953503	 982.877420498	 -3.88001142857	 384.6	4.1496	 486.0
15.5	 -134.691572013	 1406.27077087	 -3.97994514286	 383.92	-17.8756	 529.0
16.0	 157.076983295	 2168.92161352	 -4.07987885714	 383.24	12.1252	 607.0
16.5	 -451.365493405	 3115.74080912	 -4.17981257143	 382.56	-50.7456	 704.0
17.0	 -60.1925542443	 2734.60924922	 -4.27974628571	 381.88	-10.4896	 664.0
17.5	 -296.320288614	 3817.13144174	 -4.37968	 381.2	-34.95	 775.0
18.0	 -55.2658818664	 3416.61373942	 -4.47961371429	 380.52	-10.1812	 733.0
18.5	 -478.047272647	 4508.82900315	 -4.57954742857	 379.84	-53.898	 845.0
19.0	 -32.193780187	 4292.47965378	 -4.67948114286	 379.16	-8.0008	 822.0
19.5	 -173.127800836	 5646.40784013	 -4.77941485714	 378.48	-22.6404	 961.0
20.0	 -515.887072951	 5972.87047841	 -4.87934857143	 377.8	-58.1016	 994.0
20.5	 -79.9864260077	 4661.20408254	 -4.97928228571	 377.12	-13.2312	 858.0
21.0	 -173.455415565	 5414.16185398	 -5.079216	 376.44	-22.974	 935.0
21.5	 -235.127254331	 4606.53516092	 -5.17914971429	 375.76	-29.4364	 851.0
22.0	 -152.624351949	 5882.9187776	 -5.27908342857	 375.08	-21.0248	 982.0
22.5	 -22.6719273887	 5046.21287092	 -5.37901714286	 374.4	-7.718	 895.0
23.0	 -364.931037029	 5673.16071666	 -5.47895085714	 373.72	-43.1276	 959.0
23.5	 551.637379437	 3469.73176964	 -5.57888457143	 373.04	51.3316	 731.0
24.0	 176.31714252	 3582.94684135	 -5.67881828571	 372.36	12.5112	 742.0
24.5	 578.43162046	 3764.01341152	 -5.778752	 371.68	53.896	 760.0
25.0	 600.0	 930.534835975	 -5.87868571429	 371.0	56.0212	 467.0
25.5	 32.8267432758	 3001.75029172	 -5.97861942857	 370.32	-2.592	 680.0
26.0	 -414.067131442	 3696.54963591	 -6.07855314286	 369.64	-48.7964	 751.0
26.5	 -224.700057605	 4178.10141353	 -6.17848685714	 368.96	-29.36	 800.0
27.0	 -53.4745358404	 4843.8215441	 -6.27842057143	 368.28	-11.7952	 868.0
27.5	 -177.275083822	 4656.55140836	 -6.37835428571	 367.6	-24.6672	 848.0
28.0	 131.630821382	 4256.03370604	 -6.478288	 366.92	7.1016	 806.0
28.5	 396.053284197	 4369.24877775	 -6.57822171429	 366.24	34.2812	 817.0
29.0	 -517.856638554	 4201.36478443	 -6.67815542857	 365.56	-60.1036	 799.0
29.5	 -100.097543683	 3073.8667415	 -6.77808914286	 364.88	-17.1048	 682.0
30.0	 170.039953916	 3051.3788163	 -6.87802285714	 364.2	10.6644	 679.0
30.5	 -59.1552959248	 1536.15792506	 -6.97795657143	 363.52	-13.0808	 522.0
31.0	 -318.410698197	 1310.11550448	 -7.07789028571	 362.84	-39.9272	 498.0
31.5	 320.796301493	 37.221393439	 -7.177824	 362.16	25.9176	 366.0
32.0	 -277.704961375	 945.268304211	 -7.27775771429	 361.48	-35.9276	 459.0
32.5	 -363.958428725	 2463.97870109	 -7.37769142857	 360.8	-44.926	 615.0
33.0	 252.888594302	 2034.38178515	 -7.47762514286	 360.12	18.612	 570.0
33.5	 -94.3294905691	 3814.80510465	 -7.57755885714	 359.44	-17.3092	 753.0
34.0	 -4.91348980104	 603.29675199	 -7.67749257143	 358.76	-8.1844	 421.0
34.5	 108.145850258	 512.957328331	 -7.77742628571	 358.08	3.3796	 411.0
35.0	 -260.210884304	 1052.6675332	 -7.87736	 357.4	-34.7224	 466.0
35.5	 -7.4782653649	 341.971552221	 -7.97729371429	 356.72	-8.7488	 392.0
36.0	 92.1658641419	 833.216401046	 -8.07722742857	 356.04	1.4312	 442.0
36.5	 -163.363521557	 403.619485104	 -8.17716114286	 355.36	-25.0308	 397.0
37.0	 -13.2727722553	 206.656278156	 -8.27709485714	 354.68	-9.6464	 376.0
37.5	 48.5955201394	 920.841764767	 -8.37702857143	 354.0	-3.3636	 449.0
38.0	 103.740698344	 413.70027916	 -8.47696228571	 353.32	2.2256	 396.0
38.5	 -59.8285821899	 3.48950563491	 -8.576896	 352.64	-14.7492	 353.0
39.0	 -19.3393276517	 271.793716674	 -8.67682971429	 351.96	-10.672	 380.0
39.5	 287.825701963	 -235.347768932	 -8.77676342857	 351.28	20.9172	 327.0
40.0	 247.784920905	 -257.835694135	 -8.87669714286	 350.6	16.6864	 324.0
40.5	 39.9803406053	 -193.085978465	 -8.97663085714	 349.92	-4.852	 330.0
41.0	 -98.2318656485	 -21.7124795061	 -9.07656457143	 349.24	-19.2108	 347.0
41.5	 -138.024504084	 -82.9726895411	 -9.17649828571	 348.56	-23.416	 340.0
42.0	 213.883742227	 -8.5299026631	 -9.276432	 347.88	12.7892	 347.0
42.5	 196.458834911	 -157.027753571	 -9.37636571429	 347.2	10.8916	 331.0
43.0	 -53.1034961523	 -383.070174143	 -9.47629942857	 346.52	-14.9548	 307.0
43.5	 122.840612676	 -75.9936782713	 -9.57623314286	 345.84	3.0968	 338.0
44.0	 110.138169653	 -205.105386763	 -9.67616685714	 345.16	1.6864	 324.0
44.5	 -30.0630548129	 -101.583386261	 -9.77610057143	 344.48	-12.8776	 334.0
45.0	 41.4944315614	 234.572323235	 -9.87603428571	 343.8	-5.5952	 368.0
45.5	 166.97641168	 -282.262233579	 -9.975968	 343.12	7.2504	 314.0
46.0	 28.2640429523	 -411.373942071	 -10.0759017143	 342.44	-7.16	 300.0
