Time	 Int488	 Int561	 Back488	 Back561	 Raw488	 Raw561
0.0	 -88.1426912268	 519.140454199	 7.46712	 444.2	-1.158	 495.0
0.5	 95.5359938971	 250.423953349	 7.41621533333	 443.495	16.7648	 468.0
1.0	 34.7404022943	 257.628560047	 7.36531066667	 442.79	10.7648	 468.0
1.5	 -70.8688648942	 -317.666949189	 7.314406	 442.085	0.3796	 411.0
2.0	 33.9372606725	 -637.479951436	 7.26350133333	 441.38	10.5844	 379.0
2.5	 68.7861442457	 -405.45073859	 7.21259666667	 440.675	13.9436	 401.0
3.0	 -124.079596449	 -919.430446148	 7.161692	 439.97	-4.98	 350.0
3.5	 14.278535795	 -94.6818170897	 7.11078733333	 439.265	8.508	 430.0
4.0	 49.6506475426	 55.5929935206	 7.05988266667	 438.56	11.9184	 444.0
4.5	 -190.898348257	 205.867804131	 7.008978	 437.855	-11.6712	 458.0
5.0	 287.55809729	 -1013.24362271	 6.95807333333	 437.15	35.0968	 338.0
5.5	 -358.868803851	 281.592819202	 6.90716866667	 436.445	-28.2096	 464.0
6.0	 -86.3639606974	 -293.702690033	 6.856264	 435.74	-1.5948	 407.0
6.5	 -290.748896668	 193.809029801	 6.80535933333	 435.035	-21.6456	 454.0
7.0	 116.184710083	 170.355735659	 6.75445466667	 434.33	18.1236	 451.0
7.5	 -157.38080106	 289.972645431	 6.70355	 433.625	-8.6968	 462.0
8.0	 -112.831757661	 1002.30897141	 6.65264533333	 432.92	-4.3884	 531.0
8.5	 80.281385481	 856.224073919	 6.60174066667	 432.215	14.4576	 516.0
9.0	 -241.760398467	 965.621683411	 6.550836	 431.51	-17.1064	 526.0
9.5	 -250.413032324	 809.317485636	 6.49993133333	 430.805	-18.004	 510.0
10.0	 -539.426037769	 2145.03112867	 6.44902666667	 430.1	-46.336	 640.0
10.5	 -45.2359575119	 2060.26203285	 6.398122	 429.395	1.9716	 631.0
11.0	 -390.074956524	 2139.00174151	 6.34721733333	 428.69	-31.8232	 638.0
11.5	 -298.627500282	 2309.71515267	 6.29631266667	 427.985	-22.9256	 654.0
12.0	 -285.267761337	 2306.70045909	 6.245408	 427.28	-21.6692	 653.0
12.5	 -221.069047361	 2743.11567753	 6.19450333333	 426.575	-15.438	 695.0
13.0	 -350.006933228	 1421.81124789	 6.14359866667	 425.87	-28.106	 565.0
13.5	 -30.8530281581	 1541.42815766	 6.092694	 425.165	3.0736	 576.0
14.0	 -281.094008342	 2008.50127694	 6.04178933333	 424.46	-21.4644	 621.0
