x	CY280actin	CY280cofilin	CY261actin	CY261cofilin	CY259actin	CY259cofilin	CY262actin	CY262cofilin	CY282actin	CY282cofilin	CY281actin	CY281cofilin	CY279actin	CY279cofilin	CY17actin	CY17cofilin	CY308actin	CY308cofilin	CY309actin	CY309cofilin	CY306actin	CY306cofilin	CY307actin	CY307cofilin	CY304actin	CY304cofilin	CY305actin	CY305cofilin	CY303actin	CY303cofilin	CY310actin	CY310cofilin	CY260actin	CY260cofilin	
0.0	32.7558933654	4.10714151911	36.1955200249	12.4402962879	38.2592484775	-7.25496797949	45.2646899132	1.29723152399	40.525146382	3.83909454922	39.2034456074	69.6297710539	29.423536352	-1.58421161065	40.1004351694		39.0007888004	-7.94101349324	40.6771215747	-0.715604804884	41.4170561345	-12.795946582	41.5211080872	12.6020848357	43.1746723918	8.85302498113	44.1409740582	5.11116225631	41.3419179123	-6.68235566549	40.2802903569	1.75691035313	44.4332410638	-6.16079595798	
1.0	63.2628347274	11.5292168726	57.4060733976	19.1125835573	57.3673337973	-4.12892515173	87.2867220122	1.25253366829	75.0187551232	9.6562084452	78.6061672963	77.2036599481	56.0018445276	0.721024526939	65.0672119296		78.9748769774	0.898050279703	103.940226562	7.05850070697	75.5152402267	-3.61619096693	78.0346157587	18.9588786295	84.0828983697	-0.684539775174	84.5042797869	17.3391342926	74.4987137634	-0.05680988149	80.0227207379	3.2391691701	81.6879670664	-0.991841166089	
2.0	110.123776272	15.3166991295	98.4143822061	15.0426162627	79.9189434289	0.159519600531	143.633125505	-0.934971571076	127.362598599	16.3641009105	118.890276195	72.9843086681	90.6126875293	8.96526624235	90.6213489013		130.551903936	18.3070391267	156.421599094	17.3529550822	122.898137186	16.697259246	107.696218824	24.6367154161	133.116321046	17.7904127918	127.314034018	19.0020068344	119.119618591	6.84221915601	134.104638778	12.9434382577	123.10481458	-7.32090459193	
3.0	155.321822637	17.3598708729	144.160946975	19.4956216233	115.431311531	13.2099862859	204.473264416	11.6003995819	170.971686158	26.627880174	156.056106639	89.8144609594	131.820723896	14.0128353576	140.671566785		185.700657791	40.9491581632	203.652923686	27.6931316744	164.997725044	34.1047489594	158.961040349	29.5992638783	173.963219773	21.2997220102	182.00126971	24.8681467253	171.881307055	20.2745579113	186.968616825	23.2022861783	166.669083941	5.92904300189	
4.0	199.872627549	19.7042607753	190.929530255	27.2358416091	171.32002748	25.8258661706	260.319884087	28.542535878	228.708066609	29.809858559	206.608411368	12.2256622194	192.419539139	42.2206784121	187.928979459		233.59633222	73.2343085765	253.891835283	39.5609894545	216.678233229	33.5954712911	208.531991244	45.8490513283	233.220461071	47.5174807612	221.847497717	43.2243945283	214.990183035	36.1817086149	237.646575133	29.702226443	207.917943297	18.3475764385	
5.0	245.029427027	34.265738775	231.236001815	50.6296614506	214.819366188	35.8163091464	317.214343133	42.4608018245	262.067879258	37.5708995782	252.460104862	123.946444149	236.143792622	31.9762876588	254.370824512		281.98476023	106.31826426	302.004790104	51.4503588752	259.120570916	73.1652032228	255.395971569	55.7495340022	282.286519085	45.4019347759	282.983318751	49.1437436106	262.952714665	45.1078996458	279.592951532	36.6316636993	272.274588936	28.0635227686	
6.0	283.582346821	39.8713339336	297.334897114	67.3927158235	275.525724643	66.810881262	357.462822648	74.0098056382	321.010051513	45.6074662811	290.305087125	131.78494437	275.268701324	35.0169653798	311.647605252		339.420662189	149.891118692	354.659139876	63.7751204917	318.707448396	103.49519567	301.156113553	84.2201364407	319.491228591	54.5531324798	335.540633746	65.924597865	304.308608933	59.6797895617	308.524544913	36.6045527272	319.04298894	40.9470643408	
7.0	334.796930981	53.041830772	336.486494242	81.7723610309	330.864444151	77.9827420639	396.527370488	95.8889053786	349.808239765	45.4449699067	325.275191743	143.234257348	310.929482848	38.9984975502	324.094762612		397.213847843	195.811832703	390.581056428	84.6676181229	347.219658769	137.143581926	342.413309098	101.383800451	347.76040012	72.5776432072	377.345959161	74.8333395588	355.313420758	70.5523582241	336.616534202	43.185273401	342.090196644	50.2238638781	
8.0	360.483847128	62.3370686125	381.301600751	87.8768916233	377.980048153	94.3913977781	406.258326042	105.410412911	384.025548406	72.0782006405	376.860739175	92.6131726654	348.759313244	49.016623849	377.088521341		421.833219369	237.021432714	409.601288542	89.9577154732	394.628428151	155.906070083	381.131953531	116.086580394	394.241029932	98.4336362566	418.169696876	101.755216193	384.616638014	80.5558751947	365.295928852	71.0774028849	400.078928725	61.230389599	
9.0	412.007017817	72.5360485657	406.433749564	120.270154465	419.043655256	121.830828389	432.703169557	116.269077085	417.038636496	65.401048982	398.912904751	215.680586206	379.729257961	67.6085353612	434.027579964		436.563213854	266.82518409	439.526169998	99.8189959376	412.225888755	177.027969065	414.883365765	142.245600468	425.386282492	109.254193313	436.730454536	116.14625097	417.836518285	91.5001526008	389.391545412	85.9265602499	420.845075873	91.9218377148	
10.0	446.640417741	77.7016163601	425.650046993	133.881088195	453.841880225	148.007688107	436.834734784	150.75732035	440.894676168	95.8595224624	424.557086973	257.795293219	413.62592272	72.117646704	430.941689582		450.187863674	284.3422227	455.831544321	117.797565593	413.886306788	204.231802941	426.199186984	161.080326073	446.051399891	115.475219714	450.833931388	121.307487881	441.623011332	109.193972878	405.071461201	100.341561226	449.106676193	94.311159845	
11.0	467.764602486	97.2399178642	458.60471506	146.775921882	461.388987533	165.739460234	453.6013521	164.944710205	451.746868855	102.270289338	437.076999132	295.385433166	431.567142158	82.0660711243	456.333509269		456.243548044	309.956143864	453.365080198	122.019347929	440.487328758	225.27607163	455.797167973	173.731361337	452.482319564	135.982548546	460.583281334	140.47904159	441.977598507	111.786920632	420.340215138	114.615062637	452.535501681	101.17258046	
12.0	470.931672437	107.87685132	449.773365355	169.320023824	478.16868529	170.684516449	464.901949776	195.387854578	451.919257942	116.96437253	449.891786294	232.004580844	454.441593731	83.6396288925	481.676642203		456.339174347	328.949905484	458.520730477	132.02639383	450.454841052	239.824110175	459.891296865	194.747051644	457.319084153	137.150751459	438.128188828	136.763792389	452.105847033	143.369046767	445.786230719	126.178830711	457.872247611	116.961604317	
13.0	475.245148696	108.426708239	458.03145622	195.752621547	490.790595878	185.259076926	455.466416444	223.83112541	437.32448945	122.565443033	439.097623785	362.747596839	466.934494845	109.832627208	474.449696832		451.71605396	334.086688611	442.971725222	134.422605475	437.563176743	259.066106693	450.700785991	202.49217068	448.271912668	156.658459301	449.555562264	153.633013702	447.525086627	148.838649024	441.084338284	141.002527898	455.913597996	141.363142145	
14.0	478.779195518	109.915794431	460.329107481	221.85497564	477.450135344	207.995002856	458.672270447	230.46397245	425.841645842	125.642831093	427.89421465	426.485503432	455.217407515	120.588853865	444.079776526		449.434471633	355.08875154	427.267438879	129.532113079	456.036674297	307.964779377	434.225143706	218.555201513	436.365761237	170.18479243	438.658869369	155.875789909	454.935663861	158.294898222	437.266076728	143.797196734	447.869784184	164.298602631	
15.0	455.970734526	127.775637374	453.717594437	233.82839899	467.645605373	222.507802972	441.553745381	247.653512391	405.919458654	142.864440195	390.476469762	435.304108353	442.92912255	119.635391177	432.456630692		422.98674382	360.382697711	397.38917987	136.025451184	421.376248694	302.478752173	438.261669646	256.590209105	428.364654098	176.061379764	409.725210814	167.396379179	425.479202971	161.644977762	427.293695602	158.611459652	433.386592708	167.519820014	
16.0	430.472515754	139.158530735	433.669111013	257.68673517	438.498398195	230.844379546	414.186583154	250.47484351	366.312215183	151.477773836	392.94240558	348.631723082	416.599072082	132.744435354	422.147648908		383.343384092	362.755556047	353.411451456	137.008135059	407.996783275	334.91726598	408.357172053	260.719220811	403.018987646	156.70122742	360.136329266	177.391309856	388.441931866	174.460461533	414.344814302	172.182260648	423.586153533	175.949917576	
17.0	391.771042342	142.658600022	387.101056879	244.382230142	431.177551524	254.989699468	387.317110768	270.584797301	341.68950785	156.852728982	334.000133294	442.50773263	405.571758123	137.932596967	396.269895824		345.598710607	341.786853441	350.631660874	174.24366828	365.103109152	333.512813524	397.099926285	258.1394178	373.699513038	172.071174711	346.393046768	173.46352382	383.637994074	189.66070194	379.558471312	167.025034706	400.212388773	189.950742928	
18.0	354.068518182	148.044631513	336.394224726	246.934666019	390.820287023	260.776261199	357.424190745	289.711239721	260.818789979	133.362718958	307.271524964	454.178103129	352.270195005	130.589361553	367.639205243		317.964941393	331.864941464	321.750277693	155.425977388	339.179984255	291.263954884	341.983410577	273.05109652	346.722614375	177.05300977	313.265002469	164.317202835	358.670303653	208.077915388	361.367743015	181.154806806	344.617925397	191.123287886	
19.0	331.823246003	148.101348025	289.956134406	241.646914937	335.608062911	248.202792136	311.939847041	288.118751053	232.25698494	143.932095518	284.870979107	454.39845078	309.393254386	144.153798906	329.889272209		283.839204595	306.096801613	288.268555413	168.083867999	293.567271734	294.384527641	340.425766266	264.045118075	315.334815346	182.840728851	271.861670454	156.815369502	314.922450008	182.52666932	337.925740933	163.413100932	304.499031263	198.436834806	
20.0	276.273393073	151.967468688	256.939163276	252.885886858	279.41675568	281.806517308	285.538483272	290.395110141	205.15923938	151.812503282	258.591433464	351.313037386	257.199450953	149.577582979	292.322953441		254.54726285	269.468775519	260.019969921	173.991540826	271.217967702	307.903321864	283.540248856	243.411719515	272.275641583	177.17287725	243.983428978	165.449467188	268.358143473	164.382749895	301.761014954	164.865101097	254.124815809	196.562630144	
21.0	225.933128439	143.939358174	183.851307138	225.430083068	208.398567736	261.04728302	234.435826242	264.256011438	185.213666879	143.453743271	203.811062886	457.812307129	218.075061069	148.399048578	242.936185491		214.564933777	244.528027381	221.699600879	151.768833496	214.032123779	245.8018557	209.82487223	206.643712743	226.162920402	164.009826652	191.121829806	156.124110179	234.698997219	159.025107436	230.927950878	142.657422929	212.568362017	187.926949356	
22.0	184.89313787	139.769204425	150.491825105	221.089758264	170.792151743	274.375944917	166.234416358	225.750873669	130.208094733	157.880312799	159.903561702	433.594712062	158.667096968	112.09868987	148.199849939		191.038397748	221.672318024	181.360170261	111.048131062	188.173917568	242.459967458	166.16644424	189.192365708	170.393625653	146.089682855	166.133028048	142.560302354	163.444541083	154.818099432	179.146464553	122.260066726	157.975902885	175.415839188	
23.0	129.913392018	107.168835165	103.24399195	193.858703734	99.5190612161	230.717193544	123.388858634	203.191982377	110.880207679	150.979184357	117.202810784	394.718100316	106.477654092	91.1843984267	115.85980119		139.284580225	170.89808058	141.347784616	89.2365170954	151.107124696	233.037886628	114.526877878	165.271488359	157.240501768	132.049143507	111.423405646	112.341685474	115.984775895	142.292255507	122.397548592	106.509763317	106.024334434	147.512723988	
24.0	82.6806008595	68.9879632371	71.2350651006	167.83550178	53.6297512694	192.815612714	73.8405175807	141.935040306	58.2637663006	115.035585636	62.0060796936	220.057823672	52.7172423079	58.849216322	67.7143892131		78.6183562701	94.9834686488	90.109458987	56.3462046877	109.772290539	101.37354714	71.5424648018	122.609054185	92.4141399532	89.3617188539	85.1196155979	80.8438479841	75.7108608706	97.6355697473	75.7728094873	78.2105862671	78.5207777014	132.468603447	
																																			
